Epoch 1/20, Train Loss: 1.9483, Test Loss: 1.3571, Accuracy: 64.59%
Epoch 2/20, Train Loss: 0.9643, Test Loss: 0.7843, Accuracy: 75.81%
Epoch 3/20, Train Loss: 0.6596, Test Loss: 0.6050, Accuracy: 80.93%
Epoch 4/20, Train Loss: 0.5066, Test Loss: 0.5098, Accuracy: 84.07%
Epoch 5/20, Train Loss: 0.4526, Test Loss: 0.4604, Accuracy: 85.23%
Epoch 6/20, Train Loss: 0.3803, Test Loss: 0.4097, Accuracy: 87.03%
Epoch 7/20, Train Loss: 0.3327, Test Loss: 0.3716, Accuracy: 87.62%
Epoch 8/20, Train Loss: 0.3083, Test Loss: 0.3610, Accuracy: 88.66%
Epoch 9/20, Train Loss: 0.2617, Test Loss: 0.3457, Accuracy: 88.31%
Epoch 10/20, Train Loss: 0.2522, Test Loss: 0.3347, Accuracy: 88.95%
Epoch 11/20, Train Loss: 0.2396, Test Loss: 0.3266, Accuracy: 89.24%
Epoch 12/20, Train Loss: 0.2075, Test Loss: 0.3233, Accuracy: 89.59%
Epoch 13/20, Train Loss: 0.1850, Test Loss: 0.3073, Accuracy: 90.29%
Epoch 14/20, Train Loss: 0.1807, Test Loss: 0.2930, Accuracy: 90.87%
Epoch 15/20, Train Loss: 0.1628, Test Loss: 0.2952, Accuracy: 91.10%
Epoch 16/20, Train Loss: 0.1581, Test Loss: 0.3049, Accuracy: 90.47%
Epoch 17/20, Train Loss: 0.1546, Test Loss: 0.2944, Accuracy: 91.10%
Epoch 18/20, Train Loss: 0.1374, Test Loss: 0.2919, Accuracy: 91.10%
Epoch 19/20, Train Loss: 0.1317, Test Loss: 0.2853, Accuracy: 91.16%
Epoch 20/20, Train Loss: 0.1201, Test Loss: 0.2814, Accuracy: 91.80%
